Abilene,Taylor,121721
Allen,Collin,98143
Amarillo,Potter,198645
Arlington,Tarrant,388125
Atascocita,Harris,65844
Austin,Travis,931820
Baytown,Harris,76335
Beaumont,Jefferson,118129
Brownsville,Cameron,183887
Bryan,Brazos,82118
Carrollton,Denton,133168
Cedar Park,Williamson,65945
College Station,Brazos,107889
Conroe,Montgomery,68602
Corpus Christi,Nueces,324074
Dallas,Dallas,1300092
Denton,Denton,131044
DeSoto,Dallas,52486
Edinburg,Hidalgo,84497
El Paso,El Paso,681124
Euless,Tarrant,54219
Flower Mound,Denton,71253
Fort Worth,Tarrant,833319
Frisco,Collin,154407
Galveston,Galveston,50180
Garland,Dallas,236897
Georgetown,Williamson,63716
Grand Prairie,Dallas,187809
Grapevine,Tarrant,51404
Harlingen,Cameron,65774
Houston,Harris,2296224
Irving,Dallas,236607
Killeen,Bell,140806
Laredo,Webb,255473
League City,Galveston,98312
Lewisville,Denton,104039
Longview,Gregg,82287
Lubbock,Lubbock,249042
Mansfield,Tarrant,64274
McAllen,Hidalgo,140269
McKinney,Collin,162898
Mesquite,Dallas,144788
Midland,Midland,132950
Mission,Hidalgo,83298
Missouri City,Fort Bend,74139
New Braunfels,Comal,70543
North Richland Hills,Tarrant,69204
Odessa,Ector,118968
Pasadena,Pasadena,153784
Pearland,Brazoria,108821
Pflugerville,Travis,57122
Pharr,Hidalgo,76538
Plano,Denton,283558
Port Arthur,Jefferson,55340
Richardson,Dallas,110815
Round Rock,Williamson,115997
Rowlett,Dallas,60236
San Angelo,Tom Green,100450
San Antonio,Bexar,1469845
San Marcos,Hays,60684
Spring,Harris,54298
Sugar Land,Fort Bend,88156
Temple,Bell,72277
The Woodlands,Montgomery,112505
Tyler,Smith,103700
Victoria,Victoria,67574
Waco,McLennan,132356
Wichita Falls,Wichita,104710
